ID,sequence,label,binary_class,classifier,traditional_probability_active,esm2_probability_active,active_probability_shift,traditional_true_class_probability,esm2_true_class_probability,correct_class_probability_gain,absolute_probability_shift,traditional_prediction,esm2_prediction,traditional_correct,esm2_correct,transition,traditional_true_class_margin,esm2_true_class_margin,crossed_threshold
40,FAKLLAKLAKKFAL,0,Inactive,Logistic Regression,0.8577552364702028,0.90584534,0.04809010352979726,0.1422447635297972,0.09415465999999995,-0.04809010352979726,0.04809010352979726,1,1,False,False,persistent_error,-0.3577552364702028,-0.40584534000000005,False
40,FAKLLAKLAKKFAL,0,Inactive,RBF-SVM,0.7560220211980317,0.849791193003466,0.0937691718054342,0.24397797880196825,0.15020880699653405,-0.0937691718054342,0.0937691718054342,1,1,False,False,persistent_error,-0.25602202119803175,-0.34979119300346595,False
40,FAKLLAKLAKKFAL,0,Inactive,Random Forest,0.98,0.7533333333333333,-0.22666666666666668,0.020000000000000018,0.2466666666666667,0.22666666666666668,0.22666666666666668,1,1,False,False,persistent_error,-0.48,-0.2533333333333333,False
40,FAKLLAKLAKKFAL,0,Inactive,XGBoost,0.98671037,0.990853,0.004142630000000036,0.013289630000000052,0.009147000000000016,-0.004142630000000036,0.004142630000000036,1,1,False,False,persistent_error,-0.48671036999999995,-0.490853,False
48,FAKLLFKALKKAL,0,Inactive,Logistic Regression,0.8932089940453428,0.9257903,0.032581305954657136,0.10679100595465718,0.07420970000000005,-0.032581305954657136,0.032581305954657136,1,1,False,False,persistent_error,-0.3932089940453428,-0.42579029999999995,False
48,FAKLLFKALKKAL,0,Inactive,RBF-SVM,0.8140167353320058,0.8246995481269193,0.010682812794913454,0.1859832646679942,0.17530045187308074,-0.010682812794913454,0.010682812794913454,1,1,False,False,persistent_error,-0.3140167353320058,-0.32469954812691926,False
48,FAKLLFKALKKAL,0,Inactive,Random Forest,0.9766666666666668,0.91,-0.06666666666666676,0.023333333333333206,0.08999999999999997,0.06666666666666676,0.06666666666666676,1,1,False,False,persistent_error,-0.4766666666666668,-0.41000000000000003,False
48,FAKLLFKALKKAL,0,Inactive,XGBoost,0.99985933,0.9848038,-0.01505553000000004,0.0001406699999999539,0.015196199999999993,0.01505553000000004,0.01505553000000004,1,1,False,False,persistent_error,-0.49985933000000005,-0.4848038,False
56,FALALKALKKALKKLKKALKKAL,0,Inactive,Logistic Regression,0.9814991953415776,0.8302379,-0.15126129534157762,0.01850080465842241,0.16976210000000003,0.15126129534157762,0.15126129534157762,1,1,False,False,persistent_error,-0.4814991953415776,-0.3302379,False
56,FALALKALKKALKKLKKALKKAL,0,Inactive,RBF-SVM,0.8316469679220253,0.5,-0.3316469679220253,0.1683530320779747,0.5,0.3316469679220253,0.3316469679220253,1,1,False,False,persistent_error,-0.3316469679220253,0.0,False
56,FALALKALKKALKKLKKALKKAL,0,Inactive,Random Forest,1.0,0.6366666666666667,-0.3633333333333333,0.0,0.3633333333333333,0.3633333333333333,0.3633333333333333,1,1,False,False,persistent_error,-0.5,-0.13666666666666671,False
56,FALALKALKKALKKLKKALKKAL,0,Inactive,XGBoost,0.9876605,0.85846364,-0.12919686000000008,0.012339499999999948,0.14153636000000003,0.12919686000000008,0.12919686000000008,1,1,False,False,persistent_error,-0.48766050000000005,-0.35846364,False
67,FKLAFKLAKKAFL,0,Inactive,Logistic Regression,0.876687272022794,0.67771506,-0.19897221202279392,0.12331272797720605,0.32228493999999996,0.19897221202279392,0.19897221202279392,1,1,False,False,persistent_error,-0.37668727202279395,-0.17771506000000004,False
67,FKLAFKLAKKAFL,0,Inactive,RBF-SVM,0.6728743613887461,0.3494581309944251,-0.32341623039432105,0.3271256386112539,0.6505418690055749,0.323416230394321,0.32341623039432105,1,0,False,True,rescue,-0.17287436138874612,0.15054186900557487,True
67,FKLAFKLAKKAFL,0,Inactive,Random Forest,0.8766666666666667,0.5333333333333333,-0.3433333333333334,0.1233333333333333,0.4666666666666667,0.3433333333333334,0.3433333333333334,1,1,False,False,persistent_error,-0.3766666666666667,-0.033333333333333326,False
67,FKLAFKLAKKAFL,0,Inactive,XGBoost,0.6320686,0.27092153,-0.36114706999999996,0.3679314,0.7290784699999999,0.3611470699999999,0.36114706999999996,1,0,False,True,rescue,-0.13206859999999998,0.22907846999999992,True
68,FKRLAKIKVLRLAKIKR,1,Active,Logistic Regression,0.4956828731097921,0.0024941724,-0.4931887007097921,0.4956828731097921,0.0024941724,-0.4931887007097921,0.4931887007097921,0,0,False,False,persistent_error,-0.004317126890207912,-0.4975058276,False
68,FKRLAKIKVLRLAKIKR,1,Active,RBF-SVM,0.0736720833168891,0.1014689255097228,0.027796842192833696,0.0736720833168891,0.1014689255097228,0.027796842192833696,0.027796842192833696,0,0,False,False,persistent_error,-0.4263279166831109,-0.3985310744902772,False
68,FKRLAKIKVLRLAKIKR,1,Active,Random Forest,0.2366666666666666,0.36,0.12333333333333338,0.2366666666666666,0.36,0.12333333333333338,0.12333333333333338,0,0,False,False,persistent_error,-0.2633333333333334,-0.14,False
68,FKRLAKIKVLRLAKIKR,1,Active,XGBoost,0.038676832,0.14008915,0.101412318,0.038676832,0.14008915,0.101412318,0.101412318,0,0,False,False,persistent_error,-0.461323168,-0.35991085,False
145,MPKWKVFKKIEKVGRNIRNGIVKAGPAIAVLGEAKALG,0,Inactive,Logistic Regression,0.9736519862665448,0.87076575,-0.1028862362665448,0.02634801373345519,0.12923425,0.1028862362665448,0.1028862362665448,1,1,False,False,persistent_error,-0.4736519862665448,-0.37076575,False
145,MPKWKVFKKIEKVGRNIRNGIVKAGPAIAVLGEAKALG,0,Inactive,RBF-SVM,0.6548745642494856,0.8732128392515204,0.21833827500203473,0.34512543575051435,0.12678716074847962,-0.21833827500203473,0.21833827500203473,1,1,False,False,persistent_error,-0.15487456424948565,-0.3732128392515204,False
145,MPKWKVFKKIEKVGRNIRNGIVKAGPAIAVLGEAKALG,0,Inactive,Random Forest,0.8566666666666667,0.7733333333333333,-0.08333333333333337,0.1433333333333333,0.22666666666666668,0.08333333333333337,0.08333333333333337,1,1,False,False,persistent_error,-0.3566666666666667,-0.2733333333333333,False
145,MPKWKVFKKIEKVGRNIRNGIVKAGPAIAVLGEAKALG,0,Inactive,XGBoost,0.9918826,0.9145729,-0.07730969999999993,0.008117400000000052,0.08542709999999998,0.07730969999999993,0.07730969999999993,1,1,False,False,persistent_error,-0.49188259999999995,-0.4145729,False
149,VAKLLAKLAKKVL,0,Inactive,Logistic Regression,0.6946182973911832,0.3335615,-0.3610567973911832,0.3053817026088168,0.6664384999999999,0.3610567973911831,0.3610567973911832,1,0,False,True,rescue,-0.1946182973911832,0.16643849999999993,True
149,VAKLLAKLAKKVL,0,Inactive,RBF-SVM,0.6309533048176758,0.590258361534283,-0.04069494328339274,0.36904669518232425,0.409741638465717,0.04069494328339274,0.04069494328339274,1,1,False,False,persistent_error,-0.13095330481767575,-0.09025836153428302,False
149,VAKLLAKLAKKVL,0,Inactive,Random Forest,0.7466666666666667,0.5333333333333333,-0.21333333333333337,0.2533333333333333,0.4666666666666667,0.21333333333333337,0.21333333333333337,1,1,False,False,persistent_error,-0.2466666666666667,-0.033333333333333326,False
149,VAKLLAKLAKKVL,0,Inactive,XGBoost,0.743806,0.030577553,-0.713228447,0.25619400000000003,0.969422447,0.713228447,0.713228447,1,0,False,True,rescue,-0.24380599999999997,0.469422447,True
